驯龙高手,2010,8.7,692427
萤火之森,2011,8.9,479847
玛丽和马克思,2009,8.9,396498
怪兽电力公司,2001,8.8,604377
教父3,1990,9.0,333005
一个叫欧维的男人决定去死,2015,8.9,411927
大鱼,2003,8.8,524656
玩具总动员3,2010,8.9,464696
告白,2010,8.8,625857
傲慢与偏见,2005,8.7,720098
神偷奶爸,2010,8.6,872120
寄生虫,2019,8.8,1251523
釜山行,2016,8.6,1088301
阳光姐妹淘,2011,8.8,556110
射雕英雄传之东成西就,1993,8.7,582459
被解救的姜戈,2012,8.8,553924
未麻的部屋,1997,9.0,283208
恐怖直播,2013,8.7,595559
哪吒闹海,1979,9.1,232983
我是山姆,2001,9.0,304901
哈利·波特与火焰杯,2005,8.7,571763
血战钢锯岭,2016,8.7,724889
头号玩家,2018,8.7,1251807
新世界,2013,8.9,359742
模仿游戏,2014,8.7,581793
七武士,1954,9.3,177407
喜宴,1993,9.0,318586
黑客帝国3：矩阵革命,2003,8.8,410931
花样年华,2000,8.7,538852
头脑特工队,2015,8.8,550254
电锯惊魂,2004,8.7,480522
三块广告牌,2017,8.7,756614
卢旺达饭店,2004,8.9,296992
你的名字。,2016,8.5,1264551
达拉斯买家俱乐部,2013,8.8,415349
疯狂原始人,2013,8.7,775067
上帝之城,2002,9.0,278794
谍影重重3,2007,8.8,385761
英雄本色,1986,8.6,483261
风之谷,1984,8.9,330307
心迷宫,2014,8.7,466369
九品芝麻官,1994,8.7,590909
惊魂记,1960,9.0,250959
纵横四海,1991,8.8,381166
海街日记,2015,8.8,400570
岁月神偷,2010,8.7,539872
记忆碎片,2000,8.7,556297
忠犬八公物语,1987,9.2,175843
荒蛮故事,2014,8.8,402513
爱在午夜降临前,2013,8.8,349082
绿里奇迹,1999,8.9,290531
爆裂鼓手,2014,8.7,525908
小偷家族,2018,8.7,754350
贫民窟的百万富翁,2008,8.6,691654
色，戒,2007,8.6,679039
真爱至上,2003,8.6,671866
无敌破坏王,2012,8.7,487532
东邪西毒,1994,8.6,532248
疯狂的石头,2006,8.5,742193
冰川时代,2002,8.6,563261
雨中曲,1952,9.1,196595
黑天鹅,2010,8.6,734742
你看起来好像很好吃,2010,8.9,305675
恐怖游轮,2009,8.5,762845
2001太空漫游,1968,8.9,282203
茶馆,1982(中国大陆),9.5,102302
雨人,1988,8.7,373098
恋恋笔记本,2004,8.6,610307
魔女宅急便,1989,8.7,416797
遗愿清单,2007,8.7,397428
城市之光,1931,9.3,129096
大佛普拉斯,2017,8.7,398943
